Customer_No,Prediction,Probability_Prediction
90303,0,0.13
90304,0,0.07
90305,0,0.12
90306,0,0.07
90307,0,0.06
90308,0,0.21
90309,0,0.08
90310,0,0.06
90311,0,0.03
90312,0,0.18
90313,0,0.04
90314,0,0.07
90315,0,0.06
90316,0,0.04
90317,0,0.07
90318,0,0.07
90319,0,0.08
90320,0,0.07
90321,0,0.1
90322,0,0.37
90323,0,0.12
90324,0,0.07
90325,0,0.24
90326,0,0.01
90327,0,0.08
90328,0,0.1
90329,0,0.09
90330,0,0.13
90331,0,0.09
90332,0,0.03
90333,0,0.06
90334,0,0.35
90335,0,0.2
90336,0,0.25
90337,0,0.08
90338,0,0.07
90339,0,0.01
90340,0,0.24
90341,0,0.23
90342,0,0.07
90343,0,0.04
90344,0,0.04
90345,0,0.1
90346,0,0.17
90347,0,0.16
90348,0,0.26
90349,0,0.11
90350,0,0.1
90351,0,0.12
90352,0,0.09
90353,0,0.09
90354,0,0.12
90355,0,0.15
90356,0,0.04
90357,0,0.06
90358,0,0.06
90359,0,0.01
90360,0,0.23
90361,0,0.01
90362,0,0.08
90363,0,0.03
90364,0,0.11
90365,0,0.25
90366,0,0.14
90367,0,0.15
90368,0,0.06
90369,0,0.03
90370,0,0.29
90371,1,0.52
90372,0,0.08
90373,0,0.07
90374,0,0.35
90375,0,0.34
90376,0,0.12
90377,0,0.07
90378,0,0.06
90379,0,0.07
90380,0,0.08
90381,0,0.08
90382,0,0.07
90383,0,0.02
90384,0,0.08
90385,0,0.14
90386,0,0.11
90387,0,0.15
90388,0,0.1
90389,0,0.08
90390,0,0.15
90391,0,0.06
90392,0,0.06
90393,0,0.1
90394,0,0.36
90395,0,0.35
90396,0,0.11
90397,0,0.11
90398,0,0.02
90399,0,0.08
90400,0,0.07
90401,0,0.25
90402,0,0.06
90403,0,0.12
90404,0,0.07
90405,0,0.02
90406,0,0.16
90407,0,0.01
90408,0,0.09
90409,0,0.07
90410,0,0.09
90411,0,0.31
90412,0,0.07
90413,0,0.15
90414,0,0.35
90415,0,0.18
90416,0,0.06
90417,0,0.02
90418,0,0.17
90419,0,0.06
90420,0,0.06
90421,0,0.15
90422,0,0.06
90423,0,0.08
90424,0,0.2
90425,0,0.07
90426,0,0.13
90427,0,0.11
90428,0,0.14
90429,0,0.01
90430,0,0.21
90431,0,0.07
90432,0,0.01
90433,0,0.1
90434,0,0.09
90435,0,0.02
90436,0,0.09
90437,0,0.14
90438,0,0.01
90439,0,0.26
90440,0,0.04
90441,0,0.04
90442,0,0.23
90443,0,0.07
90444,0,0.13
90445,0,0.08
90446,0,0.01
90447,0,0.37
90448,0,0.07
90449,0,0.09
90450,0,0.21
90451,0,0.09
90452,0,0.03
90453,0,0.07
90454,0,0.1
90455,0,0.07
90456,0,0.11
90457,0,0.07
90458,0,0.36
90459,0,0.05
90460,0,0.15
90461,0,0.25
90462,0,0.07
90463,0,0.07
90464,0,0.15
90465,0,0.15
90466,0,0.24
90467,0,0.29
90468,0,0.01
90469,0,0.09
90470,0,0.07
90471,0,0.08
90472,0,0.01
90473,0,0.18
90474,0,0.1
90475,0,0.27
90476,0,0.03
90477,0,0.32
90478,0,0.16
90479,0,0.15
90480,0,0.11
90481,0,0.09
90482,0,0.07
90483,0,0.18
90484,0,0.32
90485,0,0.01
90486,0,0.06
90487,0,0.04
90488,0,0.07
90489,0,0.18
90490,0,0.18
90491,0,0.05
90492,0,0.07
90493,0,0.13
90494,0,0.03
90495,0,0.42
90496,0,0.06
90497,0,0.12
90498,0,0.29
90499,0,0.27
90500,0,0.08
90501,0,0.03
90502,0,0.01
90503,0,0.11
90504,0,0.11
90505,0,0.1
90506,0,0.07
90507,0,0.17
90508,0,0.08
90509,0,0.06
90510,0,0.1
90511,0,0.11
90512,0,0.18
90513,0,0.07
90514,0,0.1
90515,0,0.06
90516,0,0.16
90517,0,0.07
90518,0,0.06
90519,0,0.33
90520,0,0.25
90521,0,0.46
90522,0,0.03
90523,0,0.28
90524,0,0.12
90525,0,0.23
90526,0,0.09
90527,0,0.04
90528,0,0.18
90529,0,0.03
90530,0,0.28
90531,0,0.15
90532,0,0.11
90533,0,0.01
90534,0,0.37
90535,0,0.07
90536,0,0.02
90537,0,0.07
90538,0,0.08
90539,0,0.09
90540,0,0.11
90541,0,0.26
90542,0,0.06
90543,0,0.09
90544,0,0.1
90545,0,0.07
90546,0,0.17
90547,0,0.05
90548,0,0.08
90549,0,0.07
90550,0,0.15
90551,0,0.15
90552,0,0.01
90553,0,0.1
90554,0,0.22
90555,0,0.16
90556,0,0.46
90557,0,0.15
90558,0,0.07
90559,0,0.15
90560,0,0.11
90561,0,0.08
90562,0,0.34
90563,0,0.19
90564,0,0.14
90565,0,0.24
90566,0,0.25
90567,0,0.07
90568,0,0.05
90569,0,0.01
90570,0,0.15
90571,0,0.1
90572,0,0.06
90573,0,0.1
90574,0,0.01
90575,0,0.13
90576,0,0.23
90577,0,0.25
90578,0,0.01
90579,0,0.1
90580,0,0.1
90581,0,0.07
90582,0,0.06
90583,0,0.25
90584,0,0.1
90585,0,0.14
90586,0,0.09
90587,0,0.08
90588,0,0.07
90589,0,0.18
90590,0,0.08
90591,0,0.07
90592,0,0.06
90593,0,0.1
90594,0,0.19
90595,0,0.08
90596,0,0.01
90597,0,0.13
90598,0,0.01
90599,0,0.12
90600,0,0.01
90601,0,0.1
90602,0,0.34
90603,0,0.08
90604,0,0.16
90605,0,0.21
90606,0,0.02
90607,0,0.14
90608,0,0.15
90609,0,0.09
90610,0,0.11
90611,0,0.07
90612,0,0.06
90613,0,0.07
90614,0,0.07
90615,0,0.09
90616,0,0.07
90617,0,0.09
90618,0,0.06
90619,0,0.07
90620,0,0.26
90621,0,0.03
90622,0,0.24
90623,0,0.07
90624,0,0.07
90625,0,0.21
90626,0,0.15
90627,0,0.19
90628,0,0.05
90629,0,0.06
90630,0,0.11
90631,0,0.07
90632,0,0.12
90633,0,0.06
90634,0,0.05
90635,0,0.09
90636,0,0.08
90637,0,0.08
90638,0,0.11
90639,0,0.06
90640,0,0.15
90641,0,0.02
90642,0,0.06
90643,0,0.11
90644,0,0.06
90645,0,0.35
90646,0,0.27
90647,0,0.07
90648,0,0.12
90649,0,0.05
90650,0,0.08
90651,0,0.21
90652,0,0.04
90653,0,0.01
90654,0,0.07
90655,0,0.12
90656,0,0.29
90657,0,0.18
90658,0,0.14
90659,0,0.1
90660,0,0.02
90661,0,0.07
90662,0,0.15
90663,0,0.07
90664,0,0.01
90665,0,0.25
90666,0,0.1
90667,0,0.11
90668,0,0.19
90669,0,0.45
90670,0,0.07
90671,0,0.09
90672,0,0.1
90673,0,0.11
90674,0,0.01
90675,0,0.01
90676,0,0.1
90677,0,0.06
90678,0,0.13
90679,0,0.06
90680,0,0.31
90681,0,0.01
90682,0,0.17
90683,0,0.07
90684,0,0.14
90685,0,0.11
90686,0,0.07
90687,0,0.1
90688,0,0.07
90689,0,0.14
90690,0,0.19
90691,0,0.29
90692,0,0.17
90693,0,0.3
90694,0,0.41
90695,0,0.35
90696,0,0.16
90697,0,0.1
90698,0,0.31
90699,0,0.02
90700,0,0.25
90701,0,0.12
90702,0,0.08
90703,0,0.19
90704,0,0.08
90705,0,0.16
90706,0,0.06
90707,0,0.32
90708,0,0.43
90709,0,0.12
90710,0,0.15
90711,0,0.08
90712,0,0.23
90713,0,0.14
90714,0,0.01
90715,0,0.06
90716,0,0.06
90717,0,0.01
90718,0,0.07
90719,0,0.23
90720,0,0.26
90721,0,0.07
90722,0,0.11
90723,0,0.08
90724,0,0.18
90725,0,0.35
90726,0,0.03
90727,0,0.07
90728,0,0.07
90729,0,0.07
90730,0,0.4
90731,0,0.03
90732,0,0.32
90733,0,0.1
90734,0,0.19
90735,0,0.27
90736,0,0.13
90737,0,0.02
90738,0,0.05
90739,0,0.14
90740,0,0.07
90741,0,0.21
90742,0,0.04
90743,0,0.09
90744,0,0.02
90745,0,0.07
90746,0,0.14
90747,0,0.07
90748,0,0.09
90749,0,0.14
90750,0,0.11
90751,0,0.31
90752,0,0.02
90753,0,0.07
90754,0,0.06
90755,0,0.01
90756,0,0.31
90757,0,0.22
90758,0,0.17
90759,0,0.15
90760,0,0.23
90761,0,0.02
90762,0,0.06
90763,0,0.01
90764,0,0.07
90765,0,0.1
90766,0,0.08
90767,1,0.5
90768,0,0.01
90769,0,0.04
90770,0,0.07
90771,0,0.23
90772,0,0.12
90773,0,0.04
90774,0,0.07
90775,0,0.16
90776,0,0.06
90777,0,0.07
90778,0,0.08
90779,0,0.07
90780,0,0.06
90781,0,0.18
90782,0,0.08
90783,0,0.26
90784,0,0.03
90785,0,0.07
90786,0,0.05
90787,0,0.11
90788,0,0.07
90789,0,0.02
90790,0,0.08
90791,0,0.01
90792,0,0.31
90793,0,0.07
90794,0,0.04
90795,0,0.06
90796,0,0.26
90797,0,0.12
90798,0,0.04
90799,0,0.01
90800,0,0.09
90801,0,0.12
90802,0,0.07
90803,0,0.11
90804,0,0.06
90805,0,0.05
90806,0,0.12
90807,0,0.07
90808,0,0.12
90809,0,0.11
90810,0,0.01
90811,0,0.04
90812,0,0.13
90813,0,0.21
90814,0,0.08
90815,0,0.11
90816,0,0.1
90817,0,0.09
90818,0,0.24
90819,0,0.01
90820,0,0.07
90821,0,0.09
90822,0,0.06
90823,0,0.03
90824,0,0.01
90825,0,0.07
90826,0,0.02
90827,0,0.06
90828,0,0.08
90829,0,0.1
90830,0,0.01
90831,0,0.08
90832,0,0.13
90833,0,0.45
90834,0,0.01
90835,0,0.15
90836,0,0.07
90837,0,0.07
90838,0,0.32
90839,0,0.13
90840,0,0.11
90841,0,0.12
90842,0,0.11
90843,0,0.2
90844,0,0.07
90845,0,0.19
90846,0,0.01
90847,0,0.25
90848,0,0.07
90849,0,0.33
90850,0,0.07
90851,0,0.06
90852,0,0.06
90853,0,0.35
90854,0,0.12
90855,0,0.18
90856,0,0.08
90857,0,0.17
90858,0,0.22
90859,0,0.01
90860,0,0.27
90861,0,0.07
90862,0,0.11
90863,0,0.07
90864,0,0.11
90865,0,0.03
90866,0,0.07
90867,0,0.06
90868,0,0.07
90869,0,0.22
90870,0,0.15
90871,0,0.16
90872,0,0.06
90873,0,0.02
90874,0,0.08
90875,0,0.1
90876,0,0.1
90877,0,0.31
90878,0,0.06
90879,0,0.09
90880,0,0.11
90881,0,0.01
90882,0,0.12
90883,0,0.04
90884,0,0.01
90885,0,0.06
90886,0,0.16
90887,0,0.06
90888,0,0.09
90889,0,0.07
90890,0,0.07
90891,0,0.37
90892,0,0.19
90893,0,0.37
90894,0,0.08
90895,0,0.1
90896,0,0.21
90897,0,0.19
90898,0,0.26
90899,0,0.02
90900,0,0.18
90901,0,0.06
90902,0,0.28
90903,0,0.13
90904,0,0.09
90905,0,0.35
90906,0,0.08
90907,0,0.04
90908,0,0.07
90909,0,0.07
90910,0,0.08
90911,0,0.03
90912,0,0.05
90913,0,0.24
90914,0,0.07
90915,0,0.08
90916,0,0.06
90917,0,0.25
90918,0,0.07
90919,0,0.06
90920,0,0.27
90921,0,0.11
90922,0,0.18
90923,0,0.1
90924,0,0.42
90925,0,0.15
90926,0,0.39
90927,0,0.07
90928,0,0.19
90929,0,0.07
90930,0,0.1
90931,0,0.26
90932,0,0.09
90933,0,0.21
90934,0,0.17
90935,0,0.45
90936,0,0.24
90937,0,0.09
90938,0,0.14
90939,0,0.13
90940,0,0.23
90941,0,0.02
90942,0,0.08
90943,0,0.16
90944,0,0.08
90945,0,0.07
90946,0,0.05
90947,0,0.13
90948,0,0.17
90949,0,0.02
90950,0,0.24
90951,0,0.46
90952,0,0.21
90953,0,0.01
90954,0,0.17
90955,0,0.03
90956,0,0.1
90957,0,0.07
90958,0,0.1
90959,0,0.09
90960,0,0.23
90961,0,0.07
90962,0,0.31
90963,0,0.09
90964,0,0.21
90965,0,0.15
90966,0,0.06
90967,0,0.05
90968,0,0.08
90969,0,0.35
90970,0,0.24
90971,0,0.1
90972,0,0.05
90973,0,0.12
90974,0,0.07
90975,0,0.32
90976,0,0.01
90977,0,0.29
90978,0,0.18
90979,0,0.18
90980,0,0.1
90981,0,0.02
90982,0,0.12
90983,0,0.11
90984,0,0.06
90985,0,0.06
90986,0,0.01
90987,0,0.08
90988,0,0.09
90989,0,0.09
90990,0,0.07
90991,0,0.03
90992,0,0.05
90993,0,0.2
90994,0,0.16
90995,0,0.07
90996,0,0.07
90997,0,0.02
90998,0,0.08
90999,0,0.1
91000,0,0.01
91001,0,0.1
91002,0,0.06
91003,0,0.02
91004,0,0.07
91005,0,0.06
91006,0,0.02
91007,0,0.18
91008,0,0.05
91009,0,0.1
91010,0,0.18
91011,0,0.18
91012,0,0.06
91013,0,0.1
91014,0,0.02
91015,0,0.05
91016,0,0.07
91017,0,0.19
91018,0,0.07
91019,0,0.16
91020,0,0.08
91021,0,0.15
91022,0,0.19
91023,0,0.27
91024,0,0.06
91025,0,0.09
91026,0,0.07
91027,0,0.14
91028,0,0.17
91029,0,0.11
91030,0,0.1
91031,0,0.08
91032,0,0.04
91033,0,0.01
91034,0,0.02
91035,0,0.17
91036,0,0.08
91037,0,0.15
91038,0,0.16
91039,0,0.13
91040,0,0.01
91041,0,0.07
91042,0,0.07
91043,0,0.05
91044,0,0.16
91045,0,0.07
91046,0,0.07
91047,0,0.06
91048,0,0.07
91049,0,0.11
91050,0,0.01
91051,0,0.12
91052,0,0.05
91053,0,0.43
91054,0,0.08
91055,0,0.07
91056,0,0.06
91057,0,0.07
91058,0,0.01
91059,0,0.06
91060,0,0.09
91061,0,0.1
91062,0,0.06
91063,0,0.32
91064,0,0.24
91065,0,0.11
91066,0,0.09
91067,0,0.2
91068,0,0.03
91069,0,0.17
91070,0,0.04
91071,0,0.17
91072,0,0.13
91073,0,0.32
91074,0,0.16
91075,0,0.05
91076,0,0.07
91077,0,0.1
91078,0,0.09
91079,0,0.4
91080,0,0.21
91081,0,0.07
91082,0,0.01
91083,0,0.07
91084,0,0.07
91085,0,0.14
91086,0,0.09
91087,0,0.3
91088,0,0.07
91089,0,0.16
91090,0,0.13
91091,0,0.23
91092,0,0.15
91093,0,0.02
91094,0,0.11
91095,0,0.15
91096,0,0.26
91097,0,0.35
91098,0,0.24
91099,0,0.11
91100,0,0.08
91101,0,0.04
91102,0,0.12
91103,0,0.14
91104,0,0.07
91105,0,0.07
91106,0,0.1
91107,0,0.07
91108,0,0.01
91109,0,0.1
91110,0,0.09
91111,0,0.02
91112,0,0.08
91113,0,0.07
91114,0,0.04
91115,0,0.05
91116,0,0.14
91117,0,0.4
91118,0,0.1
91119,0,0.07
91120,0,0.07
91121,0,0.2
91122,0,0.01
91123,0,0.07
91124,0,0.06
91125,0,0.17
91126,0,0.1
91127,0,0.06
91128,0,0.35
91129,0,0.07
91130,0,0.02
91131,0,0.07
91132,0,0.07
91133,0,0.23
91134,0,0.09
91135,0,0.08
91136,0,0.06
91137,0,0.01
91138,0,0.07
91139,0,0.07
91140,0,0.18
91141,0,0.05
91142,0,0.15
91143,0,0.04
91144,0,0.21
91145,0,0.15
91146,0,0.11
91147,0,0.29
91148,0,0.08
91149,0,0.14
91150,0,0.06
91151,0,0.07
91152,0,0.05
91153,0,0.07
91154,0,0.11
91155,0,0.1
91156,0,0.03
91157,0,0.1
91158,0,0.07
91159,0,0.07
91160,0,0.09
91161,0,0.06
91162,0,0.08
91163,0,0.1
91164,0,0.05
91165,0,0.11
91166,0,0.01
91167,0,0.11
91168,0,0.1
91169,0,0.16
91170,0,0.08
91171,0,0.13
91172,0,0.17
91173,0,0.32
91174,0,0.09
91175,0,0.16
91176,0,0.03
91177,0,0.1
91178,0,0.09
91179,0,0.11
91180,0,0.14
91181,0,0.09
91182,0,0.03
91183,0,0.01
91184,0,0.08
91185,0,0.01
91186,0,0.09
91187,0,0.09
91188,0,0.01
91189,0,0.02
91190,0,0.12
91191,0,0.04
91192,0,0.07
91193,0,0.06
91194,0,0.01
91195,0,0.13
91196,0,0.4
91197,0,0.07
91198,0,0.01
91199,0,0.07
91200,0,0.23
91201,0,0.11
91202,0,0.1
91203,0,0.07
91204,0,0.15
91205,0,0.2
91206,0,0.08
91207,0,0.34
91208,0,0.15
91209,0,0.11
91210,0,0.07
91211,0,0.17
91212,0,0.07
91213,0,0.22
91214,0,0.01
91215,0,0.02
91216,0,0.07
91217,0,0.18
91218,0,0.07
91219,0,0.02
91220,0,0.15
91221,0,0.26
91222,0,0.25
91223,0,0.08
91224,0,0.34
91225,0,0.02
91226,0,0.01
91227,0,0.07
91228,0,0.13
91229,0,0.09
91230,0,0.07
91231,0,0.11
91232,0,0.07
91233,0,0.09
91234,0,0.18
91235,0,0.02
91236,0,0.11
91237,0,0.07
91238,0,0.01
91239,0,0.06
91240,0,0.24
91241,0,0.11
91242,0,0.07
91243,0,0.09
91244,0,0.02
91245,0,0.06
91246,0,0.08
91247,0,0.12
91248,0,0.07
91249,0,0.32
91250,0,0.21
91251,0,0.07
91252,0,0.21
91253,0,0.37
91254,0,0.03
91255,0,0.28
91256,0,0.29
91257,0,0.16
91258,0,0.2
91259,0,0.1
91260,0,0.15
91261,0,0.25
91262,0,0.09
91263,0,0.17
91264,0,0.13
91265,0,0.23
91266,0,0.02
91267,0,0.45
91268,0,0.28
91269,0,0.3
91270,0,0.04
91271,0,0.11
91272,0,0.08
91273,0,0.29
91274,0,0.11
91275,0,0.2
91276,0,0.01
91277,0,0.07
91278,0,0.32
91279,0,0.13
91280,0,0.45
91281,0,0.11
91282,0,0.16
91283,0,0.07
91284,0,0.06
91285,0,0.18
91286,0,0.08
91287,0,0.13
91288,0,0.02
91289,0,0.02
91290,0,0.11
91291,0,0.09
91292,0,0.26
91293,0,0.07
91294,0,0.23
91295,0,0.02
91296,0,0.12
91297,0,0.02
91298,0,0.07
91299,0,0.19
91300,0,0.07
91301,0,0.11
91302,0,0.01
91303,0,0.12
91304,0,0.14
91305,0,0.07
91306,0,0.02
91307,0,0.07
91308,0,0.07
91309,0,0.07
91310,0,0.01
91311,0,0.1
91312,0,0.14
91313,0,0.18
91314,0,0.11
91315,0,0.28
91316,0,0.44
91317,0,0.07
91318,0,0.06
91319,0,0.34
91320,0,0.09
91321,0,0.14
91322,0,0.1
91323,0,0.24
91324,0,0.09
91325,0,0.09
91326,0,0.11
91327,0,0.24
91328,0,0.15
91329,0,0.25
91330,0,0.1
91331,0,0.14
91332,0,0.06
91333,0,0.07
91334,0,0.05
91335,0,0.06
91336,0,0.1
91337,0,0.08
91338,0,0.15
91339,0,0.07
91340,0,0.07
91341,0,0.06
91342,0,0.02
91343,0,0.11
91344,0,0.06
91345,0,0.07
91346,0,0.07
91347,0,0.07
91348,0,0.14
91349,0,0.08
91350,0,0.1
91351,0,0.07
91352,0,0.01
91353,0,0.04
91354,0,0.09
91355,0,0.27
91356,0,0.22
91357,0,0.08
91358,0,0.09
91359,0,0.07
91360,0,0.21
91361,0,0.09
91362,0,0.21
91363,0,0.09
91364,0,0.21
91365,0,0.06
91366,0,0.02
91367,0,0.04
91368,0,0.16
91369,0,0.07
91370,0,0.07
91371,0,0.06
91372,0,0.19
91373,0,0.04
91374,0,0.01
91375,0,0.11
91376,0,0.08
91377,0,0.18
91378,0,0.07
91379,0,0.07
91380,0,0.06
91381,0,0.18
91382,0,0.01
91383,0,0.12
91384,0,0.27
91385,0,0.11
91386,0,0.09
91387,0,0.01
91388,0,0.07
91389,0,0.07
91390,0,0.15
91391,0,0.01
91392,0,0.23
91393,0,0.11
91394,0,0.18
91395,0,0.07
91396,0,0.06
91397,0,0.33
91398,0,0.02
91399,0,0.15
91400,0,0.14
91401,0,0.02
91402,0,0.31
91403,0,0.44
91404,0,0.13
91405,0,0.24
91406,0,0.15
91407,0,0.12
91408,0,0.18
91409,0,0.11
91410,0,0.11
91411,0,0.09
91412,0,0.06
91413,0,0.07
91414,0,0.2
91415,0,0.07
91416,0,0.14
91417,0,0.07
91418,0,0.12
91419,0,0.21
91420,0,0.32
91421,0,0.11
91422,0,0.34
91423,0,0.11
91424,0,0.12
91425,0,0.04
91426,0,0.37
91427,0,0.09
91428,0,0.06
91429,0,0.08
91430,0,0.16
91431,0,0.23
91432,0,0.07
91433,0,0.1
91434,0,0.18
91435,0,0.12
91436,0,0.01
91437,0,0.1
91438,0,0.01
91439,0,0.08
91440,0,0.25
91441,0,0.09
91442,0,0.01
91443,0,0.33
91444,0,0.07
91445,0,0.1
91446,0,0.08
91447,0,0.01
91448,0,0.04
91449,0,0.09
91450,0,0.06
91451,0,0.23
91452,0,0.12
91453,0,0.09
91454,0,0.16
91455,0,0.06
91456,0,0.14
91457,0,0.09
91458,0,0.15
91459,0,0.16
91460,0,0.33
91461,0,0.08
91462,0,0.1
91463,0,0.15
91464,0,0.08
91465,0,0.18
91466,0,0.1
91467,0,0.09
91468,0,0.09
91469,0,0.19
91470,0,0.19
91471,0,0.08
91472,0,0.12
91473,0,0.09
91474,0,0.14
91475,0,0.01
91476,0,0.1
91477,0,0.1
91478,0,0.19
91479,0,0.01
91480,0,0.14
91481,0,0.23
91482,0,0.07
91483,0,0.27
91484,0,0.07
91485,0,0.1
91486,0,0.01
91487,0,0.22
91488,0,0.08
91489,0,0.17
91490,0,0.35
91491,0,0.13
91492,0,0.09
91493,0,0.03
91494,0,0.18
91495,0,0.08
91496,0,0.3
91497,0,0.23
91498,0,0.19
91499,0,0.13
91500,0,0.21
91501,0,0.33
91502,0,0.36
91503,0,0.07
91504,0,0.02
91505,0,0.01
91506,0,0.08
91507,0,0.05
91508,0,0.07
91509,0,0.13
91510,0,0.15
91511,0,0.09
91512,0,0.18
91513,0,0.1
91514,0,0.01
91515,0,0.31
91516,0,0.11
91517,0,0.03
91518,0,0.07
91519,0,0.06
91520,0,0.06
91521,0,0.04
91522,0,0.05
91523,0,0.23
91524,0,0.06
91525,0,0.09
91526,0,0.14
91527,0,0.03
91528,0,0.28
91529,0,0.16
91530,0,0.06
91531,0,0.12
91532,0,0.03
91533,0,0.36
91534,0,0.07
91535,0,0.22
91536,0,0.14
91537,0,0.15
91538,0,0.09
91539,0,0.01
91540,0,0.15
91541,0,0.01
91542,0,0.02
91543,0,0.15
91544,0,0.08
91545,0,0.08
91546,0,0.1
91547,0,0.09
91548,0,0.14
91549,0,0.09
91550,0,0.01
